Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
United Kingdom,-4.72803672,56.045482666,34103754,UKM,UKM8,UKM81,42.9,2.8,24.6,0,3.9,3.91,44.2,25.5,Wetlands,Inland marshes,Semi-natural and natural areas not in use,No,1
United Kingdom,-4.257593083,56.282286283,34443774,UKM,UKM7,UKM77,164.9,19.9,460.3,0,3.1,3.91,46.4,503.5,Wetlands,Peatbogs,Semi-natural and natural areas not in use,No,1
United Kingdom,-3.235859433,56.757500827,35163814,UKM,UKM7,UKM71,26.9,4.3,173.2,0,4.9,5.48,15.85,51.4,Wetlands,Inland marshes,Semi-natural and natural areas not in use,No,1
United Kingdom,-7.12978675,54.838145639,32323656,UKN,UKN1,UKN10,102.8,16.1,313.0,0,3.0,3.76,26.9,470.3,Wetlands,Peatbogs,OTHER PRIMARY PRODUCTION,No,1
United Kingdom,-4.773785618,57.689772002,34463934,UKM,UKM6,UKM61,6.3,2.3,38.6,1,3.9,4.04,28.4,43.1,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens),No,2
United Kingdom,-3.374958265,51.488469919,33983238,UKL,UKL2,UKL22,7.5,3.3,48.0,0,4.2,4.41,41.8,32.4,Grassland,Grassland without tree/shrub cover,Sport,No,1
United Kingdom,-3.294994235,51.515910799,34043240,UKL,UKL2,UKL22,12.4,2.1,36.0,1,4.9,5.13,32.0,21.1,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),No,1
United Kingdom,-3.819504065,51.691735927,33723266,UKL,UKL1,UKL17,52.1,4.2,158.5,0,4.0,4.16,72.4,53.2,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),No,1
United Kingdom,-3.139953757,51.788749225,34203268,UKL,UKL1,UKL16,3.7,1.0,24.4,1,3.7,3.87,11.63,16.0,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use,No,1
United Kingdom,-3.910428478,51.699132905,33663268,UKL,UKL1,UKL18,8.3,1.1,30.0,1,4.0,3.99,22.2,16.0,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,No,1
United Kingdom,-3.233331968,51.705257758,34123260,UKL,UKL1,UKL16,49.7,3.6,153.1,0,4.7,4.94,35.0,46.5,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),No,1
United Kingdom,-3.890831976,51.920543109,33723292,UKL,UKL1,UKL14,75.5,5.2,96.2,0,4.6,4.79,81.1,40.3,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),No,1
United Kingdom,-3.212816443,51.83518857,34163274,UKL,UKL2,UKL24,84.1,20.5,197.2,0,3.0,3.73,44.0,506.0,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use,No,1
United Kingdom,-4.093053232,51.622313358,33523262,UKL,UKL1,UKL18,14.6,4.6,103.6,0,4.1,4.33,52.9,48.2,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens),No,1
United Kingdom,-3.53247296,55.630765077,34743694,UKM,UKM9,UKM95,66.1,7.2,386.3,1,4.7,4.97,84.7,76.9,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),No,1
