"Phylum","Class","Order","totalK"
"Abditibacteriota","Abditibacteria","Abditibacteriales",4
"Acidobacteriota","Acidobacteriae","Acidobacteriae",1
"Acidobacteriota","Acidobacteriae","Acidobacteriales",37
"Acidobacteriota","Acidobacteriae","Bryobacterales",2
"Acidobacteriota","Acidobacteriae","Solibacterales",1
"Acidobacteriota","Acidobacteriae","Subgroup",74
"Acidobacteriota","Aminicenantia","Aminicenantales",2
"Acidobacteriota","Blastocatellia","Blastocatellales",4
"Acidobacteriota","Blastocatellia","Pyrinomonadales",6
"Acidobacteriota","Holophagae","Holophagales",1
"Acidobacteriota","Holophagae","Subgroup",10
"Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales",13
"Acidobacteriota","Vicinamibacteria","Subgroup",2
"Acidobacteriota","Vicinamibacteria","Vicinamibacterales",23
"Actinobacteriota","Acidimicrobiia","Actinomarinales",23
"Actinobacteriota","Acidimicrobiia","Microtrichales",24
"Actinobacteriota","Acidimicrobiia","uncultured",18
"Actinobacteriota","Actinobacteria","Actinomycetales",2
"Actinobacteriota","Actinobacteria","Catenulisporales",4
"Actinobacteriota","Actinobacteria","Corynebacteriales",116
"Actinobacteriota","Actinobacteria","Euzebyales",3
"Actinobacteriota","Actinobacteria","Frankiales",119
"Actinobacteriota","Actinobacteria","Glycomycetales",4
"Actinobacteriota","Actinobacteria","Kineosporiales",6
"Actinobacteriota","Actinobacteria","Micrococcales",146
"Actinobacteriota","Actinobacteria","Micromonosporales",114
"Actinobacteriota","Actinobacteria","Nitriliruptorales",2
"Actinobacteriota","Actinobacteria","Propionibacteriales",92
"Actinobacteriota","Actinobacteria","Pseudonocardiales",87
"Actinobacteriota","Actinobacteria","Streptomycetales",104
"Actinobacteriota","Actinobacteria","Streptosporangiales",68
"Actinobacteriota","Actinobacteria","uncultured",1
"Actinobacteriota","Rubrobacteria","Rubrobacterales",8
"Actinobacteriota","Thermoleophilia","Gaiellales",41
"Actinobacteriota","Thermoleophilia","Solirubrobacterales",39
"Actinobacteriota","Thermoleophilia","uncultured",2
"Armatimonadota","Armatimonadia","Armatimonadales",1
"Armatimonadota","Chthonomonadetes","Chthonomonadales",24
"Armatimonadota","Fimbriimonadia","Fimbriimonadales",3
"Bacteroidota","Bacteroidia","Bacteroidales",38
"Bacteroidota","Bacteroidia","Bacteroidetes",1
"Bacteroidota","Bacteroidia","Chitinophagales",120
"Bacteroidota","Bacteroidia","Cytophagales",131
"Bacteroidota","Bacteroidia","Flavobacteriales",130
"Bacteroidota","Bacteroidia","Sphingobacteriales",144
"Bacteroidota","Kapabacteria","Kapabacteriales",17
"Bacteroidota","Kryptonia","Kryptoniales",16
"Bacteroidota","Rhodothermia","Balneolales",2
"Bacteroidota","Rhodothermia","Rhodothermales",6
"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales",2
"Bdellovibrionota","Bdellovibrionia","Bdellovibrionales",54
"Bdellovibrionota","Oligoflexia","Oligoflexales",13
"Chloroflexi","Anaerolineae","Anaerolineales",9
"Chloroflexi","Anaerolineae","Ardenticatenales",4
"Chloroflexi","Anaerolineae","Caldilineales",13
"Chloroflexi","Chloroflexia","Chloroflexales",22
"Chloroflexi","Chloroflexia","Kallotenuales",7
"Chloroflexi","Chloroflexia","Thermomicrobiales",88
"Chloroflexi","Ktedonobacteria","Ktedonobacterales",79
"Cyanobacteria","Cyanobacteriia","Chloroplast",31
"Cyanobacteria","Cyanobacteriia","Cyanobacteriales",48
"Cyanobacteria","Cyanobacteriia","Leptolyngbyales",6
"Cyanobacteria","Cyanobacteriia","Oxyphotobacteria",9
"Cyanobacteria","Cyanobacteriia","Phormidesmiales",3
"Cyanobacteria","Cyanobacteriia","Pseudanabaenales",2
"Cyanobacteria","Cyanobacteriia","Thermosynechococcales",1
"Cyanobacteria","Sericytochromatia","Sericytochromatia",20
"Cyanobacteria","Vampirivibrionia","Obscuribacterales",2
"Cyanobacteria","Vampirivibrionia","Vampirovibrionales",2
"Dadabacteria","Dadabacteriia","Dadabacteriales",6
"Deinococcota","Deinococci","Deinococcales",12
"Dependentiae","Babeliae","Babeliales",11
"Desulfobacterota","Desulfobaccia","Desulfobaccales",3
"Desulfobacterota","Desulfobacteria","Desulfatiglandales",5
"Desulfobacterota","Desulfobacteria","Desulfobacterales",3
"Desulfobacterota","Desulfobulbia","Desulfobulbales",6
"Desulfobacterota","Desulfovibrionia","Desulfovibrionales",5
"Desulfobacterota","Desulfuromonadia","Desulfuromonadia",2
"Desulfobacterota","Desulfuromonadia","Geobacterales",4
"Desulfobacterota","Syntrophia","Syntrophales",2
"Desulfobacterota","Syntrophobacteria","Syntrophobacterales",6
"Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales",3
"Elusimicrobiota","Elusimicrobia","Lineage",5
"Entotheonellaeota","Entotheonellia","Entotheonellales",12
"Fibrobacterota","Fibrobacteria","Fibrobacterales",13
"Firmicutes","Bacilli","Acholeplasmatales",2
"Firmicutes","Bacilli","Alicyclobacillales",17
"Firmicutes","Bacilli","Bacillales",132
"Firmicutes","Bacilli","Brevibacillales",12
"Firmicutes","Bacilli","Entomoplasmatales",1
"Firmicutes","Bacilli","Erysipelotrichales",4
"Firmicutes","Bacilli","Exiguobacterales",1
"Firmicutes","Bacilli","Lactobacillales",19
"Firmicutes","Bacilli","Mycoplasmatales",3
"Firmicutes","Bacilli","Paenibacillales",127
"Firmicutes","Bacilli","Staphylococcales",6
"Firmicutes","Bacilli","Thermoactinomycetales",16
"Firmicutes","Clostridia","Caldicoprobacterales",2
"Firmicutes","Clostridia","Christensenellales",2
"Firmicutes","Clostridia","Clostridia",24
"Firmicutes","Clostridia","Clostridiales",38
"Firmicutes","Clostridia","Eubacteriales",1
"Firmicutes","Clostridia","Lachnospirales",15
"Firmicutes","Clostridia","Oscillospirales",3
"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",22
"Firmicutes","Clostridia","Thermincolales",2
"Firmicutes","Desulfitobacteriia","Desulfitobacteriales",4
"Firmicutes","Desulfotomaculia","Desulfotomaculales",1
"Firmicutes","Limnochordia","Limnochordales",1
"Firmicutes","Limnochordia","Limnochordia",5
"Firmicutes","Negativicutes","Veillonellales-Selenomonadales",15
"Firmicutes","Negativicutes","uncultured",5
"Firmicutes","Sulfobacillia","Sulfobacillales",1
"Firmicutes","Symbiobacteriia","Symbiobacteriales",1
"Firmicutes","Thermacetogenia","Thermacetogeniales",3
"Firmicutes","Thermaerobacteria","Thermaerobacterales",1
"Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales",2
"Fusobacteriota","Fusobacteriia","Fusobacteriales",1
"Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales",32
"Gemmatimonadota","Longimicrobia","Longimicrobiales",20
"Halanaerobiaeota","Halanaerobiia","Halanaerobiales",2
"Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales",3
"Latescibacterota","Latescibacteria","Latescibacterales",5
"Latescibacterota","Latescibacterota","Latescibacterota",35
"Methylomirabilota","Methylomirabilia","Methylomirabilales",2
"Methylomirabilota","Methylomirabilia","Rokubacteriales",11
"Myxococcota","Myxococcia","Myxococcales",33
"Myxococcota","Polyangia","Haliangiales",12
"Myxococcota","Polyangia","Nannocystales",5
"Myxococcota","Polyangia","Polyangiales",55
"Nitrospirota","Nitrospiria","Nitrospirales",14
"Nitrospirota","Thermodesulfovibrionia","uncultured",10
"Patescibacteria","Microgenomatia","Candidatus",5
"Patescibacteria","Saccharimonadia","Saccharimonadales",11
"Planctomycetota","Phycisphaerae","Phycisphaerales",26
"Planctomycetota","Phycisphaerae","Tepidisphaerales",15
"Planctomycetota","Planctomycetes","Gemmatales",14
"Planctomycetota","Planctomycetes","Isosphaerales",12
"Planctomycetota","Planctomycetes","Pirellulales",25
"Planctomycetota","Planctomycetes","Planctomycetales",10
"Proteobacteria","Alphaproteobacteria","Acetobacterales",69
"Proteobacteria","Alphaproteobacteria","Azospirillales",14
"Proteobacteria","Alphaproteobacteria","Caedibacterales",1
"Proteobacteria","Alphaproteobacteria","Caulobacterales",65
"Proteobacteria","Alphaproteobacteria","Defluviicoccales",9
"Proteobacteria","Alphaproteobacteria","Dongiales",5
"Proteobacteria","Alphaproteobacteria","Elsterales",28
"Proteobacteria","Alphaproteobacteria","Ferrovibrionales",3
"Proteobacteria","Alphaproteobacteria","Holosporales",1
"Proteobacteria","Alphaproteobacteria","Kiloniellales",1
"Proteobacteria","Alphaproteobacteria","Micavibrionales",7
"Proteobacteria","Alphaproteobacteria","Micropepsales",10
"Proteobacteria","Alphaproteobacteria","Paracaedibacterales",4
"Proteobacteria","Alphaproteobacteria","Parvibaculales",1
"Proteobacteria","Alphaproteobacteria","Reyranellales",8
"Proteobacteria","Alphaproteobacteria","Rhizobiales",281
"Proteobacteria","Alphaproteobacteria","Rhodobacterales",45
"Proteobacteria","Alphaproteobacteria","Rhodospirillales",40
"Proteobacteria","Alphaproteobacteria","Rickettsiales",23
"Proteobacteria","Alphaproteobacteria","Sneathiellales",1
"Proteobacteria","Alphaproteobacteria","Sphingomonadales",130
"Proteobacteria","Alphaproteobacteria","Thalassobaculales",1
"Proteobacteria","Alphaproteobacteria","Tistrellales",1
"Proteobacteria","Alphaproteobacteria","Zavarziniales",1
"Proteobacteria","Alphaproteobacteria","uncultured",27
"Proteobacteria","Gammaproteobacteria","Acidiferrobacterales",12
