"Phylum","Class","Order","totalK"
"Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis",2
"Ascomycota","Dothideomycetes","Pleosporales",18
"Ascomycota","Eurotiomycetes","Chaetothyriales",8
"Ascomycota","Eurotiomycetes","Eurotiales",7
"Ascomycota","Eurotiomycetes","Verrucariales",1
"Ascomycota","Leotiomycetes","Helotiales",16
"Ascomycota","Leotiomycetes","Leotiomycetes_ord_Incertae_sedis",20
"Ascomycota","Sordariomycetes","Amphisphaeriales",1
"Ascomycota","Sordariomycetes","Coniochaetales",1
"Ascomycota","Sordariomycetes","Hypocreales",2
"Ascomycota","Sordariomycetes","Sordariales",3
"Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis",1
"Basidiomycota","Agaricomycetes","Agaricales",13
"Basidiomycota","Agaricomycetes","Atheliales",3
"Basidiomycota","Agaricomycetes","Boletales",1
"Basidiomycota","Agaricomycetes","Cantharellales",2
"Basidiomycota","Agaricomycetes","Sebacinales",13
"Basidiomycota","Agaricomycetes","Thelephorales",1
"Basidiomycota","Agaricomycetes","Trechisporales",1
"Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",3
"Mortierellomycota","Mortierellomycetes","Mortierellales",6
