plot,Lat,Long,area,subsamples,area_m2,Last_fire_y_ago,collection_date,biome,nativeness,warning,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,richness,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance,
10MR,58.01,26.77,Estonia ,40,2500,100,11/06/2013,forest: temperate coniferous forest biome,,,-0.446175102,2.349947581,30.66579235,1718,380,1.688009313,16.93830035,0.174621653,3.317811409,10.82654249,
11MR,57.91,26.32,Estonia ,40,2500,100,11/06/2013,forest: temperate coniferous forest biome,,,1.958914608,8.607632877,62.25348279,2908,669,3.610729023,24.62173315,0.137551582,6.946354883,6.499312242,
12MR,58.24,26.49,Estonia ,40,2500,100,25/04/2013,forest: temperate coniferous forest biome,,,0.787812682,2.860775081,9.591139565,1842,514,1.357220413,13.84364821,0,1.411509229,0.597176982,
13MR,58.24,26.49,Estonia ,40,2500,100,19/06/2013,forest: temperate coniferous forest biome,,,1.911578324,3.896421684,20.44708227,1010,370,0.594059406,23.86138614,0.198019802,1.287128713,3.168316832,
14MR,59.22,25.18,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,0.150616451,3.435929682,11.42307692,2440,518,31.80327869,5.819672131,0.163934426,0.409836066,0.778688525,
15MR,59.08,27.17,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,2.8651746,0.565597278,7.043775701,2630,399,2.927756654,5.741444867,0.038022814,2.281368821,45.39923954,
16MR,57.83,26.4,Estonia ,40,2500,100,11/06/2013,forest: temperate coniferous forest biome,,,-0.725008735,3.441709103,38.41298063,2006,476,21.88434696,3.090727817,0.099700897,3.589232303,25.42372881,
17MR,59.02,26.9,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.832510349,0.906192966,9.888364752,2077,284,20.51035147,9.099662975,0.09629273,0.529610014,38.51709196,
18MR,59.14,27.44,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,2.148329174,0.43642392,4.861412888,4171,578,5.801965955,4.531287461,0,1.078877967,39.10333253,
19MR,58.27,27.29,Estonia ,40,2500,100,28/05/2013,forest: temperate coniferous forest biome,,,0.376897162,10.46354435,65.36928358,2204,452,3.221415608,4.809437387,0.408348457,2.404718693,16.15245009,
1MR,58.16,27.13,Estonia ,40,2500,100,19/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.208587798,1.258939083,37.81437946,3740,514,0.50802139,18.28877005,1.417112299,0.802139037,36.20320856,
20MR,57.58,26.45,Estonia ,40,2500,100,30/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.776478516,0.917764394,41.11921569,3315,392,1.960784314,0.392156863,0,0.512820513,39.42684766,
21MR,57.68,26.87,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.113215754,0.899669909,9.069434133,2523,410,9.076496235,9.512485137,0.435988902,5.231866825,42.2909235,
22MR,57.91,27.32,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.047058362,0.377469033,44.47789203,2787,356,0,2.691065662,0.035880875,0.035880875,40.15069968,
23MR,59.46,25.76,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,-0.636715308,0.610686119,2.054564926,2927,465,3.074820635,6.388793987,0.136658695,3.48479672,33.65220362,
24MR,58.07,26.68,Estonia ,40,2500,100,11/06/2013,forest: temperate coniferous forest biome,,,0.08240216,3.343420791,29.62270023,2660,466,0,16.65413534,0.45112782,0.827067669,10.71428571,
25MR,58.17,27.04,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,,1.820982213,1.438811858,29.98396621,4559,527,1.908313227,9.059004168,0.767712218,19.01732836,15.0690941,
26MR,58.25,26.57,Estonia ,40,2500,100,19/06/2013,forest: temperate coniferous forest biome,,,-0.130630416,2.358547915,29.83832021,3362,704,2.676977989,33.28375967,0.713860797,2.46876859,2.736466389,
27MR,58.19,26.94,Estonia ,40,2500,100,04/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,0.737785351,0.779380648,42.4109589,4396,463,1.478616924,7.37033667,0.045495905,5.323020928,48.45313922,
28MR,57.55,26.54,Estonia ,40,2500,100,30/06/2013,forest: temperate coniferous forest biome,,,2.107043742,3.105192074,22.90455388,3089,527,6.247976691,7.607640013,0.064745872,1.003561023,19.45613467,
29MR,58.13,27.03,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,,0.804673781,1.617557508,37.71245614,1945,367,0.257069409,9.562982005,0.771208226,1.491002571,33.72750643,
2MR,58.15,27.05,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.02293737,0.524315356,31.46333189,3614,429,1.134477034,1.77089098,0.166021029,0.470392916,55.11898174,
30MK,58.3,26.67,Estonia ,40,2500,100,03/05/2013,forest: temperate coniferous forest biome,,,3.267020123,3.405370571,18.20116917,2533,681,2.605606001,15.67311488,0.276352152,1.026450849,0.118436636,
31MK,57.83,26.89,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.2991638,3.339569404,2.981092637,2808,322,3.703703704,3.133903134,0,1.958689459,39.42307692,
32MR,59.24,25.3,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,1.473008493,5.783588272,24.26668736,1269,426,0.472813239,21.67060678,0.078802206,0.394011032,0.236406619,
33MR,58.25,26.93,Estonia ,40,2500,100,04/06/2013,forest: temperate coniferous forest biome,,,-0.709620358,1.138947267,15.12229706,2391,476,2.09117524,13.55081556,0.125470514,2.300292765,28.94186533,
34MR,59.07,26.35,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,1.846897424,1.674412091,36.18991394,2517,375,4.886769964,11.60111244,0.675407231,3.138657132,0.198649186,
35MR,58.66,26.95,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,1.81239373,0.863321889,12.25834281,4201,686,24.70840276,1.356819805,0.19043085,1.761485361,21.82813616,
36MR,58.25,26.96,Estonia ,40,2500,100,19/06/2013,forest: temperate coniferous forest biome,,,0.455695843,0.245988594,1.792851986,3962,529,2.044422009,11.93841494,0.782433115,1.968702675,19.30843009,
37MR,57.59,27.15,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,,2.208952645,2.700085658,15.21962333,255,92,1.568627451,1.960784314,0,0,31.37254902,
38MR,57.97,27.42,Estonia ,40,2500,100,05/06/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,0.934180953,0.604090607,24.71838633,2214,373,0,3.206865402,0.090334237,0.496838302,49.05149051,
39MR,58.25,26.94,Estonia ,40,2500,100,04/06/2013,forest: temperate coniferous forest biome,,,1.493526282,0.962604058,8.069637489,3678,455,2.827623709,6.661228929,0.244698206,1.876019576,34.01305057,
3MR,59.23,24.89,Estonia ,40,2500,100,07/06/2013,forest: temperate coniferous forest biome,,,1.82354771,5.104479768,10.0079573,1559,454,5.772931366,8.402822322,0.064143682,1.02629891,0.449005773,
40MR,58.15,27.05,Estonia ,40,2500,100,25/04/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.021111798,0.950796375,24.17325066,2377,298,7.740849811,1.472444257,0.084139672,0.799326883,43.7946992,
41MR,58.27,27.33,Estonia ,40,2500,100,14/05/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.94830018,0.329223074,25.68636103,2038,377,1.472031403,2.257114818,0.294406281,0.981354269,50.34347399,
42MR,58.27,27.29,Estonia ,40,2500,100,29/05/2013,forest: temperate coniferous forest biome,,,1.867892537,2.231049125,11.6436803,3634,538,2.806824436,18.38194827,0.220143093,2.999449642,11.33736929,
43MR,58.22,26.84,Estonia ,40,2500,100,03/05/2013,forest: temperate coniferous forest biome,,,1.148217055,1.907952789,47.37784615,4373,742,0.251543563,15.64143609,0.091470386,4.047564601,20.48936657,
44MR,58.12,26.63,Estonia ,40,2500,100,03/05/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.149479996,2.206203719,46.16558071,2609,475,0.076657723,3.564584132,0,0.651590648,49.36757378,
45MR,58.26,26.93,Estonia ,40,2500,100,26/11/2012,forest: temperate coniferous forest biome,,molds_above_5SD_median,-0.221508978,1.562310885,24.43627611,2180,357,2.339449541,6.926605505,0.688073394,0.688073394,60.09174312,
46MR,58.25,26.82,Estonia ,40,2500,100,26/11/2012,forest: temperate coniferous forest biome,,,-0.746508256,0.4584039,19.47713371,2221,511,0.090049527,22.37730752,0.135074291,1.800990545,14.99324629,
47MR,57.92,27.19,Estonia ,40,2500,100,25/04/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,1.297728559,2.293428286,30.09485463,2131,294,8.634443923,1.73627405,0.703894885,1.595495073,41.34209291,
48MR,58.16,27.05,Estonia ,40,2500,100,25/04/2013,forest: temperate coniferous forest biome,,molds_above_5SD_median,-5.277568629,0.068297946,11.46566561,2931,366,0.170590242,2.456499488,0.068236097,0,58.99010577,
